
HLAVICKA,
Čt,A113,,,,,,,,,,,,,,,IAL IZP  23;IAL RET  25,,,,,,,,,,,,,,,,,,,,,,
Čt,N204/5,,,,,,,,,2ITUe,~,,,,,IEL IFJ  26;IEL IIS   1,,,,,,,,,,,,,,,,,,,,,,
Čt,N203,,,,,,,,,2ISS,~,2ISS,~,,,IEL IPS   1;IEL ISS  26,,,,,,,,,,,,,,,,,,,,,,
Čt,O203,,,,,,,,,2ISS,~,2ISS,~,,,IEL IZP   5;IFJ IIS  86,,,,,,,,,,,,,,,,,,,,,,

HLAVICKA,
Pá,T8,,,,,,,,,,,,,,,GZN ROB   4;GZN STI   1,,$P,$P,,,,,,$P,,,,,,,$PL,$PL,,,$P,,
Pá,D105,,ISA,~,IMP,~,~,2STI,~,~,,,,,,IMP ISA 380;IMP ISS  33,,,$P,,,,,,,,,,,,,,,,,,,
Pá,D0206,,ISA,~,GAL,~,~,,,,,,,,,ISA ISS  36;ROB STI   1,,,,,,,,,,,,,,,,,,,,,,
Pá,D0207,,ISA,~,IMP,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pá,E112,,,,ISS (a),~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pá,E104,,,,ISS (a),~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pá,E105,,,,ISS (a),~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pá,G202,,GZN,~,ROB,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pá,A112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pá,A113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

HLAVICKA,
